cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
75,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,568,600,6080
76,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,600,7109
76,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,551,600,9323
76,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12609,12600,6232
77,gated,65298be0-01e9-4bf4-9842-ae24b342999c,651,800,7152
77,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12601,12600,9356
77,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,600,6397
78,gated,65298be0-01e9-4bf4-9842-ae24b342999c,607,600,7202
78,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,618,600,9407
78,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,604,600,6566
79,gated,65298be0-01e9-4bf4-9842-ae24b342999c,632,600,7284
79,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,588,600,9446
79,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12609,12600,6744
80,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12629,12600,7395
80,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,592,600,9477
80,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,577,600,6899
81,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,600,7506
81,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30654,30600,9562
81,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,653,800,6907
82,gated,65298be0-01e9-4bf4-9842-ae24b342999c,641,600,7658
82,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,604,600,9651
82,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,597,600,6912
83,gated,65298be0-01e9-4bf4-9842-ae24b342999c,619,600,7829
83,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30591,30600,9731
