cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2492915,2494115,112685
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2494115,2495315,113885
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2496315,2496315,2496475,0
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2496315,2496475,2496635,160
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2496315,2496635,2496795,320
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2496795,2497995,480
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2497995,2499195,1680
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2499195,2500395,2880
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2500395,2501595,4080
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2501595,2502795,5280
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2502795,2503995,6480
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,2496315,2503995,2505195,7680
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2496315,2506915,2507075,10600
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2496315,2507075,2507235,10760
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2496315,2507235,2507395,10920
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2496315,2507395,2508595,11080
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2496315,2508595,2509795,12280
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2496315,2509795,2510995,13480
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2496315,2510995,2512195,14680
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2496315,2512195,2513395,15880
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2496315,2513395,2514595,17080
